Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Price,Location
7131 Fauna Glen Dr,5 Beds,4 Baths,"3,316 sqft",2019.0,2 Car Garage,"$564,900",Colorado
11774 Wildwood Ridge Dr,3 Beds,3 Baths,"2,768 sqft",2009.0,2 Car Garage,"$435,000",Colorado
3479 Cape Romain Dr,3 Beds,4 Baths,"2,306 sqft",1998.0,2 Car Garage,"$459,000",Colorado
3330 Templeton Gap Rd #58,2 Beds,3 Baths,"1,349 sqft",1977.0,2 Car Garage,"$325,000",Colorado
53 Broadmoor Ave,4 Beds,3 Baths,"4,332 sqft",1973.0,2 Car Garage,"$1,050,000",Colorado
7440 Julynn Rd,3 Beds,3 Baths,"2,755 sqft",1995.0,2 Car Garage,"$490,000",Colorado
Acacia by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,2 Beds,1 Bath,"1,068 sqft",2021.0,No Info,"$285,646+",Colorado
3103 Loot Dr,4 Beds,4 Baths,"3,429 sqft",2021.0,2 Car Garage,"$542,875",Colorado
8286 Misty Moon Dr,5 Beds,4 Baths,"3,522 sqft",2016.0,3 Car Garage,"$729,900",Colorado
417 E Kiowa St #708,1 Bed,1 Bath,417 sqft,1962.0,Garage,"$199,500",Colorado
4028 Colony Hills Cir,5 Beds,2 Baths,"1,843 sqft",1970.0,1 Car Garage,"$300,000",Colorado
8472 Artesian Springs Point,3 Beds,4 Baths,"2,271 sqft",2005.0,2 Car Garage,"$435,000",Colorado
5020 Cliff Point Cir E,4 Beds,3 Baths,"3,355 sqft",1981.0,2 Car Garage,"$679,000",Colorado
7816 Calabash Rd,5 Beds,3 Baths,"2,666 sqft",2008.0,2 Car Garage,"$475,000",Colorado
318 Cobblestone Dr,3 Beds,3 Baths,"2,058 sqft",1980.0,Garage,"$355,000",Colorado
919 Mesa Valley Rd #24,,,,,,"$49,999",Colorado
1218 Kingsley Dr,3 Beds,3 Baths,"1,609 sqft",1961.0,1 Car Garage,"$349,987",Colorado
3745 Chataway Ct,3 Beds,4 Baths,"3,760 sqft",1984.0,2 Car Garage,"$824,900",Colorado
2631 Thrush Grv,3 Beds,4 Baths,"2,365 sqft",1996.0,2 Car Garage,"$415,000",Colorado
Halford by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"1,780 sqft",2021.0,No Info,"$302,743+",Colorado
1309 Fetterman Dr,5 Beds,2 Baths,"2,026 sqft",1968.0,2 Car Garage,"$425,000",Colorado
4140 Autumn Heights Dr #B,2 Beds,2 Baths,"1,210 sqft",1984.0,2 Car Garage,"$324,900",Colorado
1337 S 25th St,2 Beds,1 Bath,873 sqft,1920.0,Garage,"$315,000",Colorado
3325 Blodgett Dr,6 Beds,7 Baths,"6,061 sqft",1995.0,3 Car Garage,"$1,195,000",Colorado
3825 Masters Dr,4 Beds,5 Baths,"3,695 sqft",1995.0,3 Car Garage,"$650,000",Colorado
13736 Silverberry Pl,6 Beds,4 Baths,"4,182 sqft",2003.0,3 Car Garage,"$675,000",Colorado
2912 Kingsley Dr,3 Beds,3 Baths,"1,609 sqft",1961.0,1 Car Garage,"$350,000",Colorado
154 Eclipse Dr,3 Beds,3 Baths,"2,772 sqft",2013.0,2 Car Garage,"$499,000",Colorado
5130 Picket Dr,5 Beds,4 Baths,"2,828 sqft",1976.0,2 Car Garage,"$485,900",Colorado
5731 W Wells Fargo Dr,4 Beds,3 Baths,"2,738 sqft",2002.0,2 Car Garage,"$425,000",Colorado
1025 Garlock Ct,4 Beds,3 Baths,"5,167 sqft",1977.0,4 Car Garage,"$1,450,000",Colorado
1826 La Bellezza Grv,3 Beds,4 Baths,"4,670 sqft",2013.0,2 Car Garage,"$895,000",Colorado
5569 Altitude Dr,5 Beds,6 Baths,"4,300 sqft",2001.0,3 Car Garage,"$600,000",Colorado
1543 W Cheyenne Rd,4 Beds,2 Baths,"2,692 sqft",1965.0,No Info,"$595,000",Colorado
3912 Horse Gulch Loop,4 Beds,3 Baths,"3,565 sqft",2017.0,2 Car Garage,"$699,900",Colorado
6718 Phantom Way,5 Beds,3 Baths,"2,544 sqft",2016.0,2 Car Garage,"$498,000",Colorado
6197 Popper Dr,4 Beds,3 Baths,"3,530 sqft",2017.0,3 Car Garage,"$515,900",Colorado
5558 Vermillion Bluffs Dr,4 Beds,3 Baths,"2,562 sqft",2003.0,2 Car Garage,"$449,999",Colorado
2335 Silent Rain Dr,3 Beds,2 Baths,"1,218 sqft",1983.0,2 Car Garage,"$425,000",Colorado
1961 Mesa Park Vw,4 Beds,3 Baths,"4,616 sqft",2014.0,2 Car Garage,"$950,000",Colorado
5042 El Camino Dr #82,2 Beds,1 Bath,285 sqft,1973.0,Garage,"$175,000",Colorado
8770 Bamboo Grv,2 Beds,3 Baths,"1,396 sqft",2006.0,2 Car Garage,"$299,999",Colorado
408 S 9th St,1 Bed,1 Bath,928 sqft,1919.0,1 Carport Spaces,"$300,000",Colorado
900 Saturn Dr #807,1 Bed,1 Bath,728 sqft,1962.0,1 Parking Spaces,"$190,000",Colorado
950 Colonnade Ct,4 Beds,5 Baths,"5,588 sqft",1999.0,3 Car Garage,"$1,500,000",Colorado
2016 Diamond Creek Dr,6 Beds,4 Baths,"4,647 sqft",2006.0,3 Car Garage,"$815,000",Colorado
320 Paisley Dr,5 Beds,4 Baths,"4,966 sqft",2000.0,3 Car Garage,"$899,900",Colorado
6144 High Noon Ave,5 Beds,4 Baths,"4,211 sqft",2009.0,2 Car Garage,"$599,000",Colorado
5542 Silverstone Ter,3 Beds,3 Baths,"3,134 sqft",2021.0,2 Car Garage,"$579,888",Colorado
414 E Kiowa St,2 Beds,1 Bath,"1,406 sqft",1893.0,No Info,"$380,000",Colorado
2015 Warwick Ln,3 Beds,2 Baths,"2,174 sqft",1964.0,1 Car Garage,"$360,000",Colorado
1202 W Colorado Ave,,,,1914.0,2 Parking Spaces,"$799,900",Colorado
3453 Plantation Grv,3 Beds,3 Baths,"2,786 sqft",2000.0,2 Car Garage,"$425,000",Colorado
1113 W Bijou St,3 Beds,3 Baths,"1,848 sqft",2004.0,1 Car Garage,"$425,000",Colorado
2729 Brooksedge Vw,3 Beds,3 Baths,"1,507 sqft",2004.0,Garage,"$275,000",Colorado
2446 E Willamette Ave,,,,1954.0,No Info,"$375,000",Colorado
3313 Warm Tree Dr,,,,,,"$255,000",Colorado
1117 N Prospect St,1 Bed,1 Bath,577 sqft,1948.0,No Info,"$349,900",Colorado
7044 Vasalias Hts,2 Beds,3 Baths,"2,117 sqft",2001.0,2 Car Garage,"$385,000",Colorado
1121 N Foote Ave,4 Beds,2 Baths,"2,938 sqft",1954.0,Garage,"$450,000",Colorado
4430 Songglen Cir,4 Beds,4 Baths,"3,136 sqft",1995.0,2 Car Garage,"$459,900",Colorado
2775 Crooked Vine Ct,4 Beds,3 Baths,"2,630 sqft",2005.0,2 Car Garage,"$550,000",Colorado
724 N Cedar St,5 Beds,2 Baths,"2,121 sqft",1925.0,Garage,"$495,000",Colorado
4750 Ramblewood Dr,3 Beds,3 Baths,"1,806 sqft",1998.0,2 Car Garage,"$440,000",Colorado
6250 Colfax Ter,5 Beds,5 Baths,"5,648 sqft",2001.0,3 Car Garage,"$850,000",Colorado
3011 Springdowns Pl,5 Beds,4 Baths,"3,543 sqft",1978.0,3 Car Garage,"$679,000",Colorado
The Savannah Plan in The Enclaves at Mountain Vista by Challenger Homes,6 Beds,3 Baths,"3,221 sqft",2021.0,No Info,"$391,900+",Colorado
217 Bijou Ct,2 Beds,1 Bath,944 sqft,1894.0,1 Carport Spaces,"$279,900",Colorado
1205 Winterhall Point,5 Beds,3 Baths,"3,068 sqft",2005.0,2 Car Garage,"$490,000",Colorado
445 Wintery Cir S,5 Beds,2 Baths,"3,289 sqft",1976.0,2 Car Garage,"$573,900",Colorado
2254 Stratton Forest Hts,5 Beds,8 Baths,"10,283 sqft",2002.0,3 Car Garage,"$2,750,000",Colorado
2810 Pinnacle Dr,3 Beds,2 Baths,"1,768 sqft",1977.0,No Info,"$300,000",Colorado
2202-2212 Wheeler Ave,4 Beds,4 Baths,"2,221 sqft",2002.0,2 Car Garage,"$549,999",Colorado
3612 Alpine Pl,4 Beds,2 Baths,"2,033 sqft",1968.0,2 Car Garage,"$385,000",Colorado
7350 Timbergrove Pl,6 Beds,3 Baths,"2,856 sqft",1978.0,2 Car Garage,"$529,999",Colorado
331 N Logan Ave,3 Beds,2 Baths,"1,655 sqft",1927.0,Garage,"$425,000",Colorado
2475 Edenderry Dr,5 Beds,4 Baths,"3,932 sqft",1992.0,3 Car Garage,"$700,000",Colorado
7542 Red Creek Vw,3 Beds,3 Baths,"1,606 sqft",2018.0,2 Car Garage,"$350,000",Colorado
900 Saturn Dr #902,2 Beds,3 Baths,"2,110 sqft",1962.0,2 Carport Spaces,"$569,900",Colorado
13664 Random Ridge Vw,5 Beds,6 Baths,"6,631 sqft",2008.0,3 Car Garage,"$1,439,250",Colorado
7131 Fauna Glen Dr,5 Beds,4 Baths,"3,316 sqft",2019.0,2 Car Garage,"$564,900",Colorado
11774 Wildwood Ridge Dr,3 Beds,3 Baths,"2,768 sqft",2009.0,2 Car Garage,"$435,000",Colorado
3479 Cape Romain Dr,3 Beds,4 Baths,"2,306 sqft",1998.0,2 Car Garage,"$459,000",Colorado
3330 Templeton Gap Rd #58,2 Beds,3 Baths,"1,349 sqft",1977.0,2 Car Garage,"$325,000",Colorado
53 Broadmoor Ave,4 Beds,3 Baths,"4,332 sqft",1973.0,2 Car Garage,"$1,050,000",Colorado
7440 Julynn Rd,3 Beds,3 Baths,"2,755 sqft",1995.0,2 Car Garage,"$490,000",Colorado
Acacia by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,2 Beds,1 Bath,"1,068 sqft",2021.0,No Info,"$285,646+",Colorado
3103 Loot Dr,4 Beds,4 Baths,"3,429 sqft",2021.0,2 Car Garage,"$542,875",Colorado
8286 Misty Moon Dr,5 Beds,4 Baths,"3,522 sqft",2016.0,3 Car Garage,"$729,900",Colorado
417 E Kiowa St #708,1 Bed,1 Bath,417 sqft,1962.0,Garage,"$199,500",Colorado
4028 Colony Hills Cir,5 Beds,2 Baths,"1,843 sqft",1970.0,1 Car Garage,"$300,000",Colorado
8472 Artesian Springs Point,3 Beds,4 Baths,"2,271 sqft",2005.0,2 Car Garage,"$435,000",Colorado
5020 Cliff Point Cir E,4 Beds,3 Baths,"3,355 sqft",1981.0,2 Car Garage,"$679,000",Colorado
7816 Calabash Rd,5 Beds,3 Baths,"2,666 sqft",2008.0,2 Car Garage,"$475,000",Colorado
318 Cobblestone Dr,3 Beds,3 Baths,"2,058 sqft",1980.0,Garage,"$355,000",Colorado
919 Mesa Valley Rd #24,,,,,,"$49,999",Colorado
1218 Kingsley Dr,3 Beds,3 Baths,"1,609 sqft",1961.0,1 Car Garage,"$349,987",Colorado
3745 Chataway Ct,3 Beds,4 Baths,"3,760 sqft",1984.0,2 Car Garage,"$824,900",Colorado
2631 Thrush Grv,3 Beds,4 Baths,"2,365 sqft",1996.0,2 Car Garage,"$415,000",Colorado
Halford by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"1,780 sqft",2021.0,No Info,"$302,743+",Colorado
1309 Fetterman Dr,5 Beds,2 Baths,"2,026 sqft",1968.0,2 Car Garage,"$425,000",Colorado
4140 Autumn Heights Dr #B,2 Beds,2 Baths,"1,210 sqft",1984.0,2 Car Garage,"$324,900",Colorado
1337 S 25th St,2 Beds,1 Bath,873 sqft,1920.0,Garage,"$315,000",Colorado
3325 Blodgett Dr,6 Beds,7 Baths,"6,061 sqft",1995.0,3 Car Garage,"$1,195,000",Colorado
3825 Masters Dr,4 Beds,5 Baths,"3,695 sqft",1995.0,3 Car Garage,"$650,000",Colorado
13736 Silverberry Pl,6 Beds,4 Baths,"4,182 sqft",2003.0,3 Car Garage,"$675,000",Colorado
2912 Kingsley Dr,3 Beds,3 Baths,"1,609 sqft",1961.0,1 Car Garage,"$350,000",Colorado
154 Eclipse Dr,3 Beds,3 Baths,"2,772 sqft",2013.0,2 Car Garage,"$499,000",Colorado
5130 Picket Dr,5 Beds,4 Baths,"2,828 sqft",1976.0,2 Car Garage,"$485,900",Colorado
5731 W Wells Fargo Dr,4 Beds,3 Baths,"2,738 sqft",2002.0,2 Car Garage,"$425,000",Colorado
1025 Garlock Ct,4 Beds,3 Baths,"5,167 sqft",1977.0,4 Car Garage,"$1,450,000",Colorado
1826 La Bellezza Grv,3 Beds,4 Baths,"4,670 sqft",2013.0,2 Car Garage,"$895,000",Colorado
5569 Altitude Dr,5 Beds,6 Baths,"4,300 sqft",2001.0,3 Car Garage,"$600,000",Colorado
7265 Pearly Heath Rd,3 Beds,3 Baths,"3,358 sqft",2008.0,2 Car Garage,"$485,000",Colorado
6490 Palmer Park Blvd,3 Beds,2 Baths,"1,983 sqft",1973.0,3 Car Garage,"$360,000",Colorado
1405 Cooper Ave,3 Beds,2 Baths,"1,772 sqft",1966.0,2 Car Garage,"$400,000",Colorado
1203 E Kiowa St,4 Beds,3 Baths,"2,987 sqft",1965.0,2 Car Garage,"$650,000",Colorado
128 W Rockrimmon Blvd #106,1 Bed,1 Bath,699 sqft,1985.0,Garage,"$194,900",Colorado
1153 Nez Perce Dr,3 Beds,2 Baths,"1,413 sqft",1971.0,1 Car Garage,"$314,900",Colorado
57 Broadmoor Ave,6 Beds,4 Baths,"4,228 sqft",1977.0,3 Car Garage,"$1,250,000",Colorado
4780 Broadlake Vw,4 Beds,8 Baths,"9,313 sqft",2016.0,4 Car Garage,"$3,200,000",Colorado
1347 E Parkway Dr,2 Beds,2 Baths,"1,095 sqft",1994.0,2 Car Garage,"$308,000",Colorado
2393 Red Edge Hts,4 Beds,4 Baths,"4,709 sqft",2008.0,4 Car Garage,"$1,500,000",Colorado
874 Diamond Rim Dr,3 Beds,3 Baths,"2,862 sqft",2009.0,2 Car Garage,"$479,000",Colorado
692 Silver Oak Grv,4 Beds,4 Baths,"7,056 sqft",2003.0,4 Car Garage,"$1,895,000",Colorado
4896 Cedarmere Dr,4 Beds,5 Baths,"3,706 sqft",2007.0,3 Car Garage,"$550,000",Colorado
372 Fairway Dr,,,,1963.0,2 Parking Spaces,"$279,900",Colorado
1325 N Circle Dr,3 Beds,1 Bath,975 sqft,1957.0,1 Car Garage,"$265,000",Colorado
5523 Vantage Vista Dr,5 Beds,5 Baths,"5,175 sqft",1999.0,3 Car Garage,"$899,000",Colorado
4162 Hidden Cir,,,,1970.0,2 Parking Spaces,"$410,000",Colorado
7264 Cedar Brush Ct,3 Beds,3 Baths,"2,746 sqft",2016.0,2 Car Garage,"$505,000",Colorado
45 E Woodmen Rd,,,,,,"$160,000",Colorado
6035 Wyman Ln,6 Beds,5 Baths,"6,482 sqft",2004.0,3 Car Garage,"$1,550,000",Colorado
7310 Thorn Brush Way,3 Beds,3 Baths,"2,782 sqft",2016.0,3 Car Garage,"$485,000",Colorado
4615 Picturesque Ct,,,,1972.0,6 Parking Spaces,"$750,000",Colorado
8842 Stony Creek Dr,4 Beds,3 Baths,"3,632 sqft",2005.0,3 Car Garage,"$595,000",Colorado
2731 Monica Dr W,4 Beds,2 Baths,"1,802 sqft",1973.0,1 Car Garage,"$367,500",Colorado
919 Mesa Valley Rd,,,,,,"$49,999",Colorado
211 Wolfe Ave,3 Beds,3 Baths,"3,180 sqft",1948.0,Garage,"$695,000",Colorado
5737 Heartland Way,3 Beds,3 Baths,"2,631 sqft",2021.0,2 Car Garage,"$419,230",Colorado
1337 Grass Valley Dr,5 Beds,4 Baths,"2,564 sqft",1992.0,2 Car Garage,"$469,900",Colorado
4853 Linfield Ct,4 Beds,5 Baths,"6,200 sqft",2002.0,3 Car Garage,"$1,500,000",Colorado
10207 Abrams Dr,4 Beds,3 Baths,"3,120 sqft",2013.0,3 Car Garage,"$482,000",Colorado
1160 Popes Valley Dr,4 Beds,4 Baths,"3,299 sqft",1984.0,2 Car Garage,"$615,000",Colorado
The Van Buren Plan in The Enclaves at Mountain Vista by Challenger Homes,5 Beds,4 Baths,"3,123 sqft",2021.0,No Info,"$385,900+",Colorado
1354 Diana Ln,3 Beds,1 Bath,"1,410 sqft",1956.0,No Info,"$340,000",Colorado
719 N Nevada Ave,6 Beds,5 Baths,"4,550 sqft",1889.0,No Info,"$1,200,000",Colorado
11553 Hibiscus Ln,3 Beds,3 Baths,"1,475 sqft",2011.0,2 Car Garage,"$420,000",Colorado
Almond by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,2 Beds,1 Bath,"1,127 sqft",2021.0,No Info,"$290,744+",Colorado
1425-1425 N Cedar St #1427,4 Beds,3 Baths,"2,528 sqft",1951.0,Garage,"$569,000",Colorado
Redwood by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"2,136 sqft",2021.0,No Info,"$320,698+",Colorado
4830 Kerry Lynn Vw,3 Beds,3 Baths,"1,548 sqft",2017.0,2 Car Garage,"$335,000",Colorado
4425 Joyce Pl,4 Beds,2 Baths,"1,289 sqft",1980.0,1 Car Garage,"$368,900",Colorado
Barnes Rd,,,,,,"$55,000",Colorado
1832 Reilly Grv,2 Beds,3 Baths,"1,680 sqft",2004.0,2 Car Garage,"$339,900",Colorado
2605 Bott Ave,2 Beds,3 Baths,"1,350 sqft",2021.0,No Info,"$489,000",Colorado
596 Silver Oak Grv,4 Beds,5 Baths,"5,695 sqft",2000.0,3 Car Garage,"$1,595,000",Colorado
7127 Mountain Spruce Dr,4 Beds,3 Baths,"3,818 sqft",2015.0,3 Car Garage,"$580,000",Colorado
5389 Janga Dr,4 Beds,,"2,124 sqft",2021.0,3 Car Garage,"$500,000",Colorado
2511 Holiday Ln,4 Beds,3 Baths,"2,764 sqft",1963.0,2 Car Garage,"$525,000",Colorado
6866 Sedgerock Ln,4 Beds,3 Baths,"3,214 sqft",2020.0,2 Car Garage,"$615,000",Colorado
The Mont Blanc Plan in Revel at Wolf Ranch by Challenger Homes,5 Beds,4 Baths,"4,714 sqft",2021.0,No Info,"$490,900+",Colorado
1001 Antrim Loop,4 Beds,4 Baths,"3,370 sqft",2015.0,2 Car Garage,"$550,000",Colorado
1932 Mesa View Ct,4 Beds,4 Baths,"3,186 sqft",1980.0,2 Car Garage,"$749,900",Colorado
Chestnut by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"1,543 sqft",2021.0,No Info,"$315,895+",Colorado
926 S Arcadia St,,,,1953.0,5 Parking Spaces,"$283,000",Colorado
1829 N Franklin St,3 Beds,2 Baths,"1,842 sqft",1918.0,No Info,"$469,900",Colorado
7753 Sandsmere Dr,5 Beds,4 Baths,"2,365 sqft",2017.0,Garage,"$598,900",Colorado
3610 Twisted Oak Cir,,,,,,"$180,000",Colorado
5220 Silo Rdg,4 Beds,3 Baths,"3,292 sqft",1985.0,2 Car Garage,"$575,000",Colorado
2904 W Colorado Ave,2 Beds,1 Bath,"1,165 sqft",1889.0,Garage,"$475,000",Colorado
1825 Brantfeather Grv,4 Beds,6 Baths,"8,879 sqft",2003.0,3 Car Garage,"$2,785,000",Colorado
6075 Harney Dr,5 Beds,3 Baths,"3,400 sqft",2008.0,3 Car Garage,"$630,000",Colorado
10913 Saco Dr,3 Beds,3 Baths,"1,482 sqft",2019.0,2 Car Garage,"$429,900",Colorado
2730 Marston Hts,4 Beds,4 Baths,"4,313 sqft",1995.0,2 Car Garage,"$599,900",Colorado
6925 Winter Hawk Cir,5 Beds,3 Baths,"5,015 sqft",1978.0,2 Car Garage,"$700,000",Colorado
2702 E Bijou St,4 Beds,2 Baths,"2,014 sqft",1958.0,1 Car Garage,"$325,000",Colorado
4160 S Club Dr,3 Beds,4 Baths,"4,592 sqft",1981.0,2 Car Garage,"$837,000",Colorado
1033 E Costilla St,4 Beds,2 Baths,"1,200 sqft",1947.0,Garage,"$399,900",Colorado
Pine Ln,,,,,,"$129,000",Colorado
4650 Paramount Pl,6 Beds,3 Baths,"4,442 sqft",1999.0,3 Car Garage,"$620,000",Colorado
2310 Caddie Ct,3 Beds,3 Baths,"3,783 sqft",1997.0,2 Car Garage,"$650,000",Colorado
512 Foothills Rd,3 Beds,3 Baths,"2,170 sqft",1947.0,4 Car Garage,"$725,000",Colorado
Daybreak Plan in Banning Lewis Ranch 55+ by Classic Homes,6 Beds,4 Baths,"4,294 sqft",2021.0,No Info,"$569,900+",Colorado
The Rio Plan in The Enclaves at Mountain Vista by Challenger Homes,3 Beds,3 Baths,"1,840 sqft",2021.0,No Info,"$413,900+",Colorado
HENNESSY Plan in Bradley Ranch by D.R. Horton - Denver,5 Beds,3 Baths,"2,718 sqft",2021.0,No Info,"$505,990+",Colorado
Arlington Plan in Hansen Ranch by Richmond American Homes,3 Beds,2 Baths,"1,887 sqft",2021.0,No Info,"$527,950+",Colorado
WILLOW Plan in Creekside at Lorson Ranch by D.R. Horton - Denver,3 Beds,2 Baths,"1,291 sqft",2021.0,No Info,"$386,490+",Colorado
Savannah Plan in Banning Lewis Ranch 55+ by Classic Homes,6 Beds,4 Baths,"3,216 sqft",2021.0,No Info,"$501,100+",Colorado
2975 Cindercone Ln,,,,,,"$215,000",Colorado
Celebration Plan in Banning Lewis Ranch 55+ by Classic Homes,4 Beds,3 Baths,"3,094 sqft",2021.0,No Info,"$505,300+",Colorado
The Newton Plan in Cordera by Campbell Homes LLC,4 Beds,4 Baths,"4,102 sqft",2021.0,Garage,"$713,940+",Colorado
Marrion Plan in Enclave at Wolf Ranch by David Weekley Homes,2 Beds,2 Baths,"1,720 sqft",2021.0,No Info,"$534,990+",Colorado
1296 Mica Ln,,,,,,"$350,000",Colorado
207 N Meade Ave,4 Beds,2 Baths,"2,648 sqft",1932.0,Garage,"$619,900",Colorado
5190 Farthing Dr,,,,,,"$200,000",Colorado
ELM Plan in Creekside at Lorson Ranch by D.R. Horton - Denver,5 Beds,3 Baths,"2,415 sqft",2021.0,No Info,"$447,490+",Colorado
Ellingwood Plan in Revel at Wolf Ranch by Toll Brothers,3 Beds,3 Baths,"4,017 sqft",2021.0,No Info,"$571,995+",Colorado
The Wexford Plan in The Townes at Lorson Ranch by Challenger Homes,3 Beds,3 Baths,"1,956 sqft",2021.0,No Info,"$354,900+",Colorado
4240 Old Scotchman Way,,,,,,"$360,000",Colorado
4235 Cedar Heights Dr,,,,,,"$95,000",Colorado
The Thoreau Plan in Cordera by Campbell Homes LLC,3 Beds,4 Baths,"3,604 sqft",2021.0,Garage,"$771,750+",Colorado
Onyx Plan in The Trails at Aspen Ridge by Richmond American Homes,3 Beds,2 Baths,"1,581 sqft",2021.0,No Info,"$445,950+",Colorado
Juniper Plan in Yoder by Westover Homes,3 Beds,2 Baths,"1,666 sqft",2021.0,No Info,"$475,000+",Colorado
Whisper Plan in Yoder by Westover Homes,3 Beds,2 Baths,"1,849 sqft",2021.0,No Info,"$499,900+",Colorado
Harlan by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,3 Baths,"2,339 sqft",2021.0,No Info,"$357,644+",Colorado
Tamarack by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"2,255 sqft",2021.0,No Info,"$323,481+",Colorado
Amethyst Plan in Hansen Ranch by Richmond American Homes,2 Beds,2 Baths,"1,422 sqft",2021.0,No Info,"$461,950+",Colorado
The Savannah Plan in Revel at Wolf Ranch by Challenger Homes,6 Beds,3 Baths,"3,221 sqft",2021.0,No Info,"$442,900+",Colorado
The Cape Town Plan in The Enclaves at Mountain Vista by Challenger Homes,3 Beds,3 Baths,"1,690 sqft",2021.0,No Info,"$403,900+",Colorado
7584 Sand Lake Hts,3 Beds,3 Baths,"1,561 sqft",2021.0,2 Car Garage,"$370,500",Colorado
Eames-K Plan in élan at Wolf Ranch by Toll Brothers,2 Beds,2 Baths,"4,326 sqft",2021.0,No Info,"$674,995+",Colorado
Red Oak by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"2,255 sqft",2021.0,No Info,"$325,234+",Colorado
6088 Donahue Dr,5 Beds,3 Baths,"3,710 sqft",2021.0,Garage,"$646,169",Colorado
The Steinbeck Plan in Cordera by Campbell Homes LLC,6 Beds,4 Baths,"4,543 sqft",2021.0,Garage,"$775,520+",Colorado
The Gladstone Plan in Chapel Heights by Challenger Homes,2 Beds,3 Baths,"1,108 sqft",2021.0,No Info,"$329,900+",Colorado
Cameron Plan in élan at Wolf Ranch by Toll Brothers,2 Beds,3 Baths,"4,038 sqft",2021.0,No Info,"$648,995+",Colorado
Vineyard Plan in Cordera by Toll Brothers,2 Beds,2 Baths,"3,570 sqft",2021.0,No Info,"$567,995+",Colorado
Daphne Plan in élan at Wolf Ranch by Toll Brothers,2 Beds,2 Baths,"3,490 sqft",2021.0,No Info,"$621,995+",Colorado
Beech by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"1,543 sqft",2021.0,No Info,"$316,503+",Colorado
Fresco Plan in Cordera by Toll Brothers,2 Beds,2 Baths,"3,554 sqft",2021.0,No Info,"$566,995+",Colorado
Joshua by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"1,899 sqft",2021.0,No Info,"$308,455+",Colorado
Rosewood Plan in Wolf Ranch by Classic Homes,5 Beds,4 Baths,"3,188 sqft",2020.0,No Info,"$418,300+",Colorado
Emery with Garage Plan in Presidio Point by Lokal Homes,2 Beds,2 Baths,"1,102 sqft",2021.0,No Info,"$340,990+",Colorado
331 Bergamo Way,,,,,,"$299,900",Colorado
5950 Gladstone St,,,,,,"$175,000",Colorado
The Matterhorn Plan in Revel at Wolf Ranch by Challenger Homes,4 Beds,3 Baths,"3,864 sqft",2021.0,No Info,"$457,900+",Colorado
4635 Bradford Hts,,,,,,"$159,000",Colorado
10267 Odin Dr,4 Beds,4 Baths,"2,740 sqft",2021.0,3 Car Garage,"$583,623",Colorado
The Antero Plan in Chapel Heights by Challenger Homes,3 Beds,2 Baths,"1,494 sqft",2021.0,No Info,"$344,900+",Colorado
PINE Plan in Creekside at Lorson Ranch by D.R. Horton - Denver,4 Beds,3 Baths,"1,953 sqft",2021.0,No Info,"$423,490+",Colorado
10744 Hidden Pool Hts,3 Beds,3 Baths,"1,693 sqft",2021.0,Garage,"$446,990",Colorado
The Ashville Plan in The Enclaves at Mountain Vista by Challenger Homes,4 Beds,3 Baths,"3,538 sqft",2021.0,No Info,"$467,900+",Colorado
The Casitas Plan in Creekside at Lorson Ranch by View Homes - Colorado Springs,3 Beds,3 Baths,"1,971 sqft",2021.0,No Info,"$414,995+",Colorado
1626 E Cache La Poudre St,2 Beds,1 Bath,994 sqft,1944.0,1 Car Garage,"$400,000",Colorado
Bedford Plan in The Trails at Aspen Ridge by Richmond American Homes,3 Beds,3 Baths,"2,319 sqft",2021.0,No Info,"$499,950+",Colorado
Salida Plan in Gold Hill Mesa by David Weekley Homes,3 Beds,2 Baths,"1,823 sqft",2021.0,No Info,"$534,990+",Colorado
Belford Plan in Revel at Wolf Ranch by Toll Brothers,2 Beds,2 Baths,"3,349 sqft",2021.0,No Info,"$527,995+",Colorado
Hamilton by Bonnavilla Plan in Build on Your Lot by Seeger Homes by Seeger Homes,3 Beds,2 Baths,"2,101 sqft",2021.0,No Info,"$347,849+",Colorado
Rutherford Plan in Enclave at Wolf Ranch by David Weekley Homes,2 Beds,2 Baths,"2,272 sqft",2021.0,No Info,"$586,990+",Colorado
10640 Horton Dr,3 Beds,3 Baths,"1,443 sqft",2021.0,2 Car Garage,"$478,900",Colorado
