Bedroom,Bathroom,Sqft,Price,Parking,Address,Yearbuild
5 Beds,3 Baths,"2,740 sqft","$1,300,000",3 Car Garage,"9482 Hito CtSan Diego, CA 92129",1991
3 Beds,2 Baths,"1,330 sqft","$695,000",2 Car Garage,"590 Fergus StSan Diego, CA 92114",1980
4 Beds,5 Baths,"3,396 sqft","$1,250,000",3 Car Garage,"12385 Fairway Pointe RowSan Diego, CA 92128",1989
1 Bed,1 Bath,604 sqft,"$300,000",Open Parking,"9580 Carroll Canyon Rd #160San Diego, CA 92126",1977
4 Beds,3 Baths,"3,331 sqft","$2,395,000",2 Car Garage,"3229 28th StSan Diego, CA 92104",1990
4 Beds,3 Baths,"1,660 sqft","$1,399,000",No Info,"4764-66 Hawley BlvdSan Diego, CA 92116",1922
2 Beds,1 Bath,918 sqft,"$639,000",1 Car Garage,"2720 Tuberose StSan Diego, CA 92105",1945
4 Beds,3 Baths,"1,500 sqft","$898,000",2 Car Garage,"6959 Beagle StSan Diego, CA 92111",1961
4 Beds,2 Baths,"1,320 sqft","$825,000",2 Car Garage,"6961 Barker WaySan Diego, CA 92119",1972
3 Beds,3 Baths,"1,431 sqft","$680,000",2 Car Garage,"860 Leppert CtSan Diego, CA 92114",1984
4 Beds,2 Baths,"1,254 sqft","$667,900",2 Parking Spaces,"880 60th StSan Diego, CA 92114",1991
5 Beds,6 Baths,"8,175 sqft","$16,900,000",3 Car Garage,"7447 Hillside DrLa Jolla, CA 92037",2021
4 Beds,3 Baths,"1,892 sqft","$680,000",Garage,"5283 Mount Alifan DrSan Diego, CA 92111",1968
3 Beds,2 Baths,"1,284 sqft","$849,999",2 Car Garage,"7171 Salerno StSan Diego, CA 92111",1960
5 Beds,5 Baths,"3,693 sqft","$2,295,000",3 Car Garage,"4034 Lago Di Grata CirSan Diego, CA 92130",2001
4 Beds,3 Baths,"2,259 sqft","$1,975,000",2 Car Garage,"1277 Beryl StSan Diego, CA 92109",1965
4 Beds,2 Baths,"1,470 sqft","$875,000",2 Car Garage,"3552 Brookshire StSan Diego, CA 92111",1963
6 Beds,9 Baths,"8,345 sqft","$6,500,000",4 Car Garage,"6625 Muirlands DrLa Jolla, CA 92037",1994
3 Beds,2 Baths,"1,136 sqft","$670,000",2 Car Garage,"338 Sychar RdSan Diego, CA 92114",1960
4 Beds,2 Baths,"1,368 sqft","$650,000",No Info,"3266 J StSan Diego, CA 92102",1958
3 Beds,2 Baths,735 sqft,"$549,000",Garage,"336 S 37th StSan Diego, CA 92113",2018
4 Beds,3 Baths,"2,679 sqft","$1,069,900",2 Parking Spaces,"17677 Corazon PlSan Diego, CA 92127",1978
2 Beds,2 Baths,"1,075 sqft","$649,900",2 Parking Spaces,"4080 Front St #210San Diego, CA 92103",2001
4 Beds,5 Baths,"4,450 sqft","$4,200,000",2 Car Garage,"6749 Muirlands DrLa Jolla, CA 92037",2002
3 Beds,2 Baths,"2,356 sqft","$999,900",Garage,"17510 Frondoso DrSan Diego, CA 92128",1971
2 Beds,2 Baths,"1,600 sqft","$739,000",1 Car Garage,"12523 Mantilla RdSan Diego, CA 92128",1965
4 Beds,3 Baths,"1,985 sqft","$1,235,000",2 Car Garage,"14028 Paseo CeveraSan Diego, CA 92129",1977
3 Beds,2 Baths,"1,047 sqft","$575,000",2 Car Garage,"227 Ledgewood LnSan Diego, CA 92114",1961
3 Beds,2 Baths,"1,399 sqft","$979,000",Garage,"2360 Torrey Pines Rd #23La Jolla, CA 92037",1959
3 Beds,2 Baths,"1,482 sqft","$865,000",2 Car Garage,"18197 Valladares DrSan Diego, CA 92127",1980
3 Beds,2 Baths,"1,264 sqft","$975,000",Open Parking,"1796 Sutter StSan Diego, CA 92103",1929
2 Beds,2 Baths,"1,102 sqft","$559,000",2 Car Garage,"10542 Caminito BanyonSan Diego, CA 92131",1973
3 Beds,3 Baths,"1,350 sqft","$189,900",Carport,"1951 47th St #123San Diego, CA 92102",2021
3 Beds,3 Baths,"1,490 sqft","$649,000",2 Car Garage,"9949 Maya Linda Rd #32San Diego, CA 92126",1986
3 Beds,3 Baths,"1,943 sqft","$1,075,000",2 Car Garage,"11907 Danvers CirSan Diego, CA 92128",1995
4 Beds,4 Baths,"1,853 sqft","$590,000",2 Car Garage,"1250 Paseo Sea Grass #119San Diego, CA 92154",2018
