Bedroom,Bathroom,Sqft,Price,Parking,Address,Yearbuild
6 Beds,9 Baths,"7,143 sqft","$3,200,000",4 Car Garage,"17403 Gibraltar CtSan Diego, CA 92128",2008
3 Beds,2 Baths,"1,488 sqft","$259,500",No Info,"10771 Black Mountain Rd #123San Diego, CA 92126",2014
2 Beds,2 Baths,913 sqft,"$500,000",2 Car Garage,"1080 Park Blvd #916San Diego, CA 92101",2007
6 Beds,6 Baths,"4,648 sqft","$5,495,000",Garage,"408 La Crescentia DrSan Diego, CA 92106",1928
2 Beds,2 Baths,"1,036 sqft","$575,900",1 Carport Spaces,"15062 Avenida Venusto #15062-244San Diego, CA 92128",1988
Studio,1 Bath,506 sqft,"$285,000",Garage,"8019 Caminito De Pizza #DSan Diego, CA 92108",1975
6 Beds,7 Baths,"5,268 sqft","$6,295,000",4 Car Garage,"1626 Buckingham DrLa Jolla, CA 92037",2008
5 Beds,3 Baths,"3,550 sqft","$2,050,000",2 Car Garage,"10757 El Caballo AveSan Diego, CA 92127",2000
3 Beds,3 Baths,"1,217 sqft","$899,000",Garage,"4130 Via Candidiz #166San Diego, CA 92130",1998
3 Beds,2 Baths,"1,347 sqft","$899,900",2 Open Spaces,"1327 Lehigh StSan Diego, CA 92110",1990
2 Beds,2 Baths,"1,827 sqft","$2,200,000",Garage,"5430 La Jolla Blvd #C202La Jolla, CA 92037",2005
5 Beds,5 Baths,"4,183 sqft","$2,580,000",3 Car Garage,"4972 Gunston CtSan Diego, CA 92130",1995
2 Beds,1 Bath,806 sqft,"$565,000",Carport,"4050 Porte La Paz #44San Diego, CA 92122",1985
4 Beds,3 Baths,"2,107 sqft","$925,000",2 Car Garage,"8313 Santa Arminta AveSan Diego, CA 92126",1973
2 Beds,2 Baths,968 sqft,"$498,888",Garage,"3751 37th St #2San Diego, CA 92105",1995
3 Beds,2 Baths,"1,128 sqft","$849,900",Garage,"2742 Murray Ridge RdSan Diego, CA 92123",1957
3 Beds,2 Baths,"1,248 sqft","$229,900",No Info,"303 47th St #A32San Diego, CA 92102",2015
4 Beds,3 Baths,"1,696 sqft","$674,999",2 Car Garage,"1528 Hawken DrSan Diego, CA 92154",2004
2 Beds,2 Baths,855 sqft,"$549,900",2 Parking Spaces,"3055 Ivy St #5San Diego, CA 92104",1981
2 Beds,2 Baths,"1,096 sqft","$429,000",Garage,"12515 Oaks North Dr #131San Diego, CA 92128",1977
1 Bed,1 Bath,797 sqft,"$499,999",Garage,"206 Park Blvd #706San Diego, CA 92101",2006
6 Beds,6 Baths,"4,420 sqft","$6,385,000",Garage,"6331 Camino De La CostaLa Jolla, CA 92037",1989
3 Beds,2 Baths,"1,200 sqft","$839,000",2 Car Garage,"2778 Mission Village DrSan Diego, CA 92123",1959
2 Beds,2 Baths,720 sqft,"$425,000",Garage,"4205 Ohio St #206San Diego, CA 92104",1990
2 Beds,2 Baths,864 sqft,"$656,900",Carport,"12580 Carmel Creek Rd #52San Diego, CA 92130",1990
4 Beds,3 Baths,"2,169 sqft","$949,000",2 Car Garage,"11175 Caminito InocentaSan Diego, CA 92126",1992
3 Beds,3 Baths,"1,643 sqft","$628,900",Garage,"5150 Calle Sandwaves #25San Diego, CA 92154",2018
3 Beds,2 Baths,"1,492 sqft","$549,000",2 Car Garage,"5238 Reynolds StSan Diego, CA 92114",1953
5 Beds,6 Baths,"3,500 sqft","$5,950,000",2 Car Garage,"1624 Torrey Pines RdLa Jolla, CA 92037",2021
3 Beds,2 Baths,"1,070 sqft","$849,000",2 Car Garage,"4656 Pocahontas AveSan Diego, CA 92117",1955
6 Beds,7 Baths,"9,200 sqft","$14,900,000",3 Car Garage,"7455 Hillside DrLa Jolla, CA 92037",2006
3 Beds,2 Baths,"1,656 sqft","$946,900",2 Car Garage,"7648 Melotte StSan Diego, CA 92119",1972
3 Beds,2 Baths,"1,422 sqft","$833,900",Garage,"961 14th StSan Diego, CA 92154",1970
2 Beds,2 Baths,889 sqft,"$495,000",Garage,"13312 Caminito Ciera #199San Diego, CA 92129",1989
3 Beds,3 Baths,"1,434 sqft","$678,000",Carport,"2057 Haller StSan Diego, CA 92104",1986
3 Beds,2 Baths,"1,040 sqft","$725,000",2 Car Garage,"8984 Gramercy DrSan Diego, CA 92123",1958
6 Beds,8 Baths,"13,532 sqft","$17,450,000",5 Car Garage,"6089 La Jolla Scenic Dr SLa Jolla, CA 92037",2010
3 Beds,2 Baths,"1,800 sqft","$795,000",Garage,"4194 Marlborough AveSan Diego, CA 92105",2000
3 Beds,3 Baths,"1,444 sqft","$949,900",Garage,"17636 Azucar WaySan Diego, CA 92127",1986
,,,"$59,999",No Info,"San Vicente StSan Diego, CA 92114",No Info
2 Beds,2 Baths,"1,512 sqft","$345,000",No Info,"10770 Black Mountain Rd #262San Diego, CA 92126",2021
4 Beds,5 Baths,"5,155 sqft","$4,200,000",2 Car Garage,"4351 Monaco StSan Diego, CA 92107",2010
4 Beds,2 Baths,"1,719 sqft","$599,000",1 Car Garage,"5544 Trinidad WaySan Diego, CA 92114",1954
2 Beds,1 Bath,480 sqft,"$519,000",2 Parking Spaces,"3809 Cherokee AveSan Diego, CA 92104",1932
3 Beds,2 Baths,"1,186 sqft","$550,000",Garage,"804 West StSan Diego, CA 92113",1949
2 Beds,2 Baths,"1,360 sqft","$774,900",1 Parking Spaces,"3111 Ingelow St #BSan Diego, CA 92106",1986
3 Beds,3 Baths,"1,598 sqft","$768,000",2 Car Garage,"12530 Heatherton Ct #31San Diego, CA 92128",1995
4 Beds,2 Baths,"1,400 sqft","$630,000",2 Car Garage,"222 Brandywood StSan Diego, CA 92114",1982
4 Beds,2 Baths,"1,101 sqft","$540,000",1 Parking Spaces,"5402 Balboa Arms Dr #410San Diego, CA 92117",1995
4 Beds,2 Baths,"1,512 sqft","$575,000",Open Parking,"5554 Santa Margarita StSan Diego, CA 92114",1961
1 Bed,1 Bath,548 sqft,"$285,000",1 Car Garage,"5252 Orange Ave #236San Diego, CA 92115",1996
3 Beds,2 Baths,"1,428 sqft","$885,000",2 Car Garage,"12711 Rios RdSan Diego, CA 92128",1967
1 Bed,1 Bath,674 sqft,"$415,000",1 Car Garage,"4051 Iowa St #4San Diego, CA 92104",1985
4 Beds,3 Baths,"2,021 sqft","$1,749,000",2 Car Garage,"5340 Westknoll LnSan Diego, CA 92109",1968
3 Beds,3 Baths,"1,396 sqft","$789,000",2 Car Garage,"11079 Caminito AlegraSan Diego, CA 92131",1991
3 Beds,3 Baths,"1,687 sqft","$949,999",2 Car Garage,"2343 Aperture CirSan Diego, CA 92108",2015
2 Beds,2 Baths,972 sqft,"$709,000",1 Car Garage,"325 7th Ave #1006San Diego, CA 92101",2007
5 Beds,3 Baths,"2,021 sqft","$824,900",2 Car Garage,"1588 Hawken DrSan Diego, CA 92154",2003
3 Beds,4 Baths,"3,894 sqft","$1,999,000",2 Car Garage,"1876 Sefton PlSan Diego, CA 92107",1980
3 Beds,4 Baths,"2,329 sqft","$6,595,000",2 Car Garage,"5570 Calumet AveLa Jolla, CA 92037",1990
8 Beds,10 Baths,"8,228 sqft","$8,875,000",2 Car Garage,"1761 Colgate CirLa Jolla, CA 92037",2008
2 Beds,2 Baths,"1,019 sqft","$649,000",2 Car Garage,"1927 Chicago St #CSan Diego, CA 92110",1984
3 Beds,3 Baths,"1,535 sqft","$924,990",2 Car Garage,"12658 Carmel Country Rd #85San Diego, CA 92130",1999
3 Beds,2 Baths,"1,036 sqft","$390,000",Garage,"3285 Ocean View Blvd #24San Diego, CA 92113",1984
3 Beds,2 Baths,"1,457 sqft","$1,399,000",2 Car Garage,"2615 Nansen AveSan Diego, CA 92122",1963
6 Beds,6 Baths,"4,091 sqft","$3,800,000",2 Car Garage,"5786 La Jolla Mesa DrLa Jolla, CA 92037",1990
1 Bed,1 Bath,793 sqft,"$560,000",Garage,"4944 Cass St #305San Diego, CA 92109",1973
3 Beds,3 Baths,"1,301 sqft","$673,492+",No Info,"Plan 1 in Asana at 3Roots by Shea Homes-FamilySan Diego, CA 92126",2021
1 Bed,1 Bath,"1,043 sqft","$299,000",1 Car Garage,"3890 Nobel Dr #809San Diego, CA 92122",1992
1 Bed,1 Bath,485 sqft,"$350,000",1 Car Garage,"2828 University Ave #403San Diego, CA 92104",1997
4 Beds,3 Baths,"2,038 sqft","$1,099,000",3 Car Garage,"6532 E Lake DrSan Diego, CA 92119",2006
5 Beds,6 Baths,"10,285 sqft","$16,950,000",8 Car Garage,"7505 Hillside DrLa Jolla, CA 92037",1997
4 Beds,3 Baths,"2,360 sqft","$1,239,000",2 Car Garage,"8484 Ednalyn LnSan Diego, CA 92127",2010
7 Beds,7 Baths,"7,466 sqft","$7,380,000",4 Car Garage,"9521 La Jolla Farms RdLa Jolla, CA 92037",2015
2 Beds,2 Baths,"1,336 sqft","$992,000",1 Car Garage,"1205 Pacific Hwy #803San Diego, CA 92101",2005
3 Beds,3 Baths,"1,501 sqft","$987,900",Garage,"11840 Cypress Canyon Rd #2San Diego, CA 92131",1999
4 Beds,3 Baths,"2,172 sqft","$1,030,900",Garage,"8608 Maury CtSan Diego, CA 92119",1964
4 Beds,2 Baths,"1,178 sqft","$859,900",2 Car Garage,"8595 Lepus RdSan Diego, CA 92126",1972
2 Beds,2 Baths,"1,140 sqft","$419,900",Garage,"3607 51st St #FSan Diego, CA 92105",1981
2 Beds,2 Baths,910 sqft,"$629,000",Garage,"4672 Kansas St #6San Diego, CA 92116",1992
3 Beds,2 Baths,"1,275 sqft","$774,900",2 Car Garage,"7656 Acama StSan Diego, CA 92126",1973
7 Beds,6 Baths,"4,028 sqft","$3,195,000",4 Car Garage,"2574 Pico WaySan Diego, CA 92109",2021
3 Beds,3 Baths,"1,578 sqft","$685,000",1 Car Garage,"17409 Caminito SiegaSan Diego, CA 92127",1973
2 Beds,3 Baths,"1,359 sqft","$645,000",1 Car Garage,"4745 Hawley Blvd #3San Diego, CA 92116",1984
6 Beds,5 Baths,"2,623 sqft","$3,250,000",4 Car Garage,"718-20 Kingston CtSan Diego, CA 92109",2019
2 Beds,2 Baths,"1,519 sqft","$1,800,000",Garage,"8263 Camino Del Oro #171La Jolla, CA 92037",1972
4 Beds,3 Baths,"1,982 sqft","$1,345,000",2 Car Garage,"11871 Sweetbriar LnSan Diego, CA 92131",2000
2 Beds,3 Baths,"1,967 sqft","$859,888",2 Car Garage,"5161 Renaissance Ave #CSan Diego, CA 92122",1990
4 Beds,3 Baths,"2,547 sqft","$1,149,000",2 Car Garage,"7325 Conestoga CtSan Diego, CA 92120",1968
1 Bed,1 Bath,697 sqft,"$899,999",Garage,"4667 Ocean Blvd #405San Diego, CA 92109",1973
3 Beds,2 Baths,"1,375 sqft","$775,000",1 Car Garage,"12269 Horado RdSan Diego, CA 92128",1965
1 Bed,1 Bath,431 sqft,"$289,900",No Info,"207 5th Ave #854San Diego, CA 92101",2008
5 Beds,3 Baths,"2,098 sqft","$1,259,000",2 Car Garage,"6248 Camino CortoSan Diego, CA 92120",1970
6 Beds,5 Baths,"4,720 sqft","$3,995,000",Garage,"7784 Hillside DrLa Jolla, CA 92037",1926
3 Beds,3 Baths,"2,900 sqft","$1,395,000",2 Car Garage,"4748 Panorama DrSan Diego, CA 92116",1951
3 Beds,2 Baths,"1,601 sqft","$949,000",No Info,"613 W Lewis StSan Diego, CA 92103",1938
5 Beds,3 Baths,"1,864 sqft","$1,064,000",No Info,"2656 Wyandotte AveSan Diego, CA 92117",1965
1 Bed,1 Bath,778 sqft,"$509,000",Garage,"800 The Mark Ln #309San Diego, CA 92101",2007
2 Beds,1 Bath,850 sqft,"$359,900",Garage,"4338 Altadena Ave #204San Diego, CA 92115",1981
2 Beds,2 Baths,"1,356 sqft","$675,000",2 Car Garage,"17011 Calle Trevino #10San Diego, CA 92127",2008
,,"2,200 sqft","$950,000",3 Parking Spaces,"4464 33rd StSan Diego, CA 92116",1927
4 Beds,3 Baths,"2,396 sqft","$1,090,000",2 Car Garage,"9064 Trailridge AveSantee, CA 92071",2019
4 Beds,3 Baths,"2,746 sqft","$1,689,000",3 Car Garage,"10535 Livewood WaySan Diego, CA 92131",1982
3 Beds,3 Baths,"1,788 sqft","$760,000",2 Car Garage,"604 Vista San RafaelSan Diego, CA 92154",2004
1 Bed,1 Bath,734 sqft,"$432,900",Garage,"525 11th Ave #1201San Diego, CA 92101",2004
4 Beds,4 Baths,"2,000 sqft","$1,995,000",1 Car Garage,"3401 Yosemite StSan Diego, CA 92109",1941
4 Beds,3 Baths,"1,307 sqft","$795,000",Garage,"10866 Sandy Hook RdSan Diego, CA 92126",1973
4 Beds,2 Baths,"1,178 sqft","$840,000",2 Car Garage,"10966 Janice CtSan Diego, CA 92126",1985
3 Beds,2 Baths,"1,000 sqft","$1,049,900",Open Parking,"1703 30th StSan Diego, CA 92102",1914
5 Beds,11 Baths,"12,017 sqft","$13,500,000",7 Car Garage,"1330 Inspiration DrLa Jolla, CA 92037",1990
4 Beds,3 Baths,"1,700 sqft","$749,000",2 Car Garage,"1550 Weaver StSan Diego, CA 92114",1976
2 Beds,2 Baths,831 sqft,"$515,000",Garage,"8658 New Salem St #63San Diego, CA 92126",1993
1 Bed,2 Baths,819 sqft,"$459,000",1 Parking Spaces,"3939 Illinois St #2CSan Diego, CA 92104",1976
1 Bed,1 Bath,726 sqft,"$424,900",Garage,"1025 Island Ave #312San Diego, CA 92101",2006
,,,"$250,000",No Info,"Dwight StSan Diego, CA 92105",No Info
4 Beds,4 Baths,"2,748 sqft","$2,295,000",2 Car Garage,"803 Temple StSan Diego, CA 92106",2011
6 Beds,5 Baths,"3,922 sqft","$2,599,000",3 Car Garage,"5428 Valerio TrlSan Diego, CA 92130",2003
1 Bed,1 Bath,623 sqft,"$444,000",Garage,"4730 Noyes St #215San Diego, CA 92109",1970
Studio,1 Bath,318 sqft,"$259,000",Garage,"207 5th Ave #934San Diego, CA 92101",2008
2 Beds,3 Baths,"1,429 sqft","$667,000",2 Car Garage,"10324 Ridgewater LnSan Diego, CA 92131",1982
4 Beds,3 Baths,"3,093 sqft","$1,160,000",2 Car Garage,"6384 Saint Therese WaySan Diego, CA 92120",1978
4 Beds,4 Baths,,"$1,495,000",No Info,"1120 30th StSan Diego, CA 92102",2014
4 Beds,3 Baths,"2,201 sqft","$5,700,000",1 Car Garage,"7944 Princess StLa Jolla, CA 92037",1913
4 Beds,3 Baths,"2,225 sqft","$3,358,000",Garage,"8002 La Jolla Shores DrLa Jolla, CA 92037",1927
4 Beds,5 Baths,"4,900 sqft","$9,995,000",Garage,"7310 Vista Del Mar AveLa Jolla, CA 92037",1995
4 Beds,4 Baths,"2,191 sqft","$1,418,888",2 Car Garage,"13566 Dogwood WaySan Diego, CA 92130",2003
2 Beds,2 Baths,"1,503 sqft","$749,000",Garage,"8233 Station Village Ln #2308San Diego, CA 92108",2005
2 Beds,1 Bath,822 sqft,"$594,000",Garage,"425 W Beech St #803San Diego, CA 92101",2004
2 Beds,2 Baths,"1,062 sqft","$399,000",Garage,"4545 Collwood Blvd #1San Diego, CA 92115",1971
5 Beds,2 Baths,"1,430 sqft","$699,000",Open Parking,"2203 Imogene AveSan Diego, CA 92154",1965
1 Bed,1 Bath,735 sqft,"$465,000",Garage,"620 State St #114San Diego, CA 92101",1989
3 Beds,4 Baths,"3,479 sqft","$4,995,000",2 Car Garage,"1929 Columbia St #601San Diego, CA 92101",2017
4 Beds,3 Baths,"2,524 sqft","$1,789,000",2 Car Garage,"2285 Via TabaraLa Jolla, CA 92037",2002
7 Beds,8 Baths,"6,253 sqft","$3,895,000",3 Car Garage,"5511 Meadows Del MarSan Diego, CA 92130",2004
2 Beds,2 Baths,"1,538 sqft","$832,100",2 Parking Spaces,"11042 Caminito Vista PacificaSan Diego, CA 92131",1988
2 Beds,1 Bath,658 sqft,"$749,999",No Info,"3724 Nile StSan Diego, CA 92104",1931
2 Beds,2 Baths,907 sqft,"$475,000",1 Carport Spaces,"13250 Wimberly Sq #206San Diego, CA 92128",1987
3 Beds,2 Baths,"1,632 sqft","$775,000",2 Car Garage,"6883 Mission Gorge RdSan Diego, CA 92120",1958
2 Beds,2 Baths,"1,040 sqft","$99,900",No Info,"2750 Wheatstone St #148San Diego, CA 92111",1965
2 Beds,2 Baths,904 sqft,"$569,000",Carport,"10880 Sabre Hill Dr #302San Diego, CA 92128",1993
5 Beds,6 Baths,"7,722 sqft","$4,650,000",4 Car Garage,"8068 Doug HlSan Diego, CA 92127",2008
3 Beds,3 Baths,"1,686 sqft","$579,000",2 Car Garage,"1735 San EugenioSan Diego, CA 92154",2016
3 Beds,3 Baths,"1,381 sqft","$875,000",2 Car Garage,"5437 Lauretta StSan Diego, CA 92110",2020
4 Beds,4 Baths,"2,642 sqft","$2,399,000",Garage,"3434 Jennings StSan Diego, CA 92106",2021
2 Beds,2 Baths,"1,344 sqft","$79,999",2 Parking Spaces,"3340 Del Sol Blvd #186San Diego, CA 92154",1978
4 Beds,2 Baths,"1,608 sqft","$935,000",2 Car Garage,"8190 Califa CtSan Diego, CA 92119",1972
5 Beds,5 Baths,"3,266 sqft","$3,350,000",Garage,"4483 Adair StSan Diego, CA 92107",2017
3 Beds,2 Baths,"1,392 sqft","$849,000",2 Car Garage,"11445 Spica DrSan Diego, CA 92126",1972
4 Beds,3 Baths,"1,500 sqft","$619,000",Open Parking,"19 Evans StSan Diego, CA 92102",2018
2 Beds,2 Baths,828 sqft,"$699,000",Garage,"1970 Columbia St #510San Diego, CA 92101",2004
2 Beds,2 Baths,"1,186 sqft","$801,900",Garage,"3130 Avenida De Portugal #304San Diego, CA 92106",1984
3 Beds,3 Baths,"2,683 sqft","$1,199,000",2 Car Garage,"1835 Guy StSan Diego, CA 92110",1986
4 Beds,3 Baths,"2,100 sqft","$999,900",2 Car Garage,"11488 Cesped DrSan Diego, CA 92124",1981
2 Beds,2 Baths,"1,113 sqft","$515,000",1 Carport Spaces,"2026 Manzana WaySan Diego, CA 92139",1985
1 Bed,2 Baths,923 sqft,"$599,900",Garage,"3211 5th Ave #204San Diego, CA 92103",2004
2 Beds,2 Baths,"1,110 sqft","$640,000",Garage,"4821 Bella Pacific Row #211San Diego, CA 92109",1987
3 Beds,2 Baths,"1,201 sqft","$4,000,000",Attached Garage,"3591 Ocean Front WalkSan Diego, CA 92109",2013
5 Beds,4 Baths,"3,000 sqft","$3,595,000",4 Car Garage,"1062 Bangor StSan Diego, CA 92106",1987
4 Beds,3 Baths,"2,825 sqft","$2,750,000",2 Car Garage,"4260 Randolph StSan Diego, CA 92103",1981
3 Beds,3 Baths,"2,317 sqft","$1,295,000",2 Car Garage,"18003 Chieftain CtSan Diego, CA 92127",1990
2 Beds,3 Baths,"1,278 sqft","$574,900",2 Car Garage,"7716 Nightingale WaySan Diego, CA 92123",1972
2 Beds,2 Baths,"1,116 sqft","$521,000",Garage,"702 Ash St #304San Diego, CA 92101",1929
1 Bed,1 Bath,708 sqft,"$525,000",Garage,"13789 Mango Dr #202Del Mar, CA 92014",1977
2 Beds,1 Bath,700 sqft,"$365,000",1 Parking Spaces,"6735 Amherst St #1ESan Diego, CA 92115",1980
3 Beds,2 Baths,"1,476 sqft","$715,000",2 Car Garage,"5335 Quince StSan Diego, CA 92105",1956
4 Beds,3 Baths,"1,915 sqft","$959,000",No Info,"1545 Gregory StSan Diego, CA 92102",1983
1 Bed,1 Bath,788 sqft,"$469,000",Garage,"777 6th Ave #427San Diego, CA 92101",2005
3 Beds,2 Baths,"1,756 sqft","$680,000",2 Car Garage,"1007 Winston DrSan Diego, CA 92114",1964
3 Beds,2 Baths,"1,678 sqft","$899,000",2 Car Garage,"7008 Ballinger AveSan Diego, CA 92119",1963
1 Bed,1 Bath,807 sqft,"$479,000",Garage,"445 Island Ave #611San Diego, CA 92101",2006
4 Beds,2 Baths,,"$719,000",1 Car Garage,"4023 Wabash AveSan Diego, CA 92104",1913
2 Beds,2 Baths,"1,040 sqft","$79,900",Carport,"3340 Del Sol Blvd #265San Diego, CA 92154",1978
4 Beds,3 Baths,"1,200 sqft","$699,000",Open Parking,"3883 38th StSan Diego, CA 92105",1936
3 Beds,2 Baths,"1,275 sqft","$699,000",1 Car Garage,"6012 Estelle StSan Diego, CA 92115",1950
4 Beds,3 Baths,"2,144 sqft","$995,000",2 Car Garage,"9130 Irvington AveSan Diego, CA 92123",1959
4 Beds,2 Baths,"1,716 sqft","$1,195,000",2 Car Garage,"4151 Corte De La SienaSan Diego, CA 92130",1988
5 Beds,7 Baths,"6,367 sqft","$5,945,000",2 Car Garage,"1944 Little StLa Jolla, CA 92037",1980
3 Beds,1 Bath,"1,080 sqft","$600,000",Garage,"3007 Central AveSan Diego, CA 92105",1965
3 Beds,2 Baths,"1,786 sqft","$719,000",2 Car Garage,"1433 Camino LujanSan Diego, CA 92111",1981
4 Beds,2 Baths,"1,288 sqft","$959,000",1 Car Garage,"1511 Frankfort StSan Diego, CA 92110",1950
6 Beds,7 Baths,"7,500 sqft","$6,999,000",4 Car Garage,"8191 Doug HlSan Diego, CA 92127",2019
4 Beds,3 Baths,"1,892 sqft","$1,495,000",2 Car Garage,"3054 N Arroyo DrSan Diego, CA 92103",2005
5 Beds,6 Baths,"4,889 sqft","$6,950,000",4 Car Garage,"7235 Carrizo DrLa Jolla, CA 92037",2021
3 Beds,2 Baths,"1,354 sqft","$899,900",Garage,"4677 Rolando BlvdSan Diego, CA 92115",1942
4 Beds,3 Baths,"1,825 sqft","$725,000",2 Car Garage,"4883 Jarrett CtSan Diego, CA 92113",1997
3 Beds,2 Baths,954 sqft,"$634,900",2 Car Garage,"7415 Carrie Ridge WaySan Diego, CA 92139",1985
1 Bed,2 Baths,854 sqft,"$445,000",Garage,"5745 Friars Rd #75San Diego, CA 92110",1980
2 Beds,2 Baths,"1,440 sqft","$119,000",Carport,"2003 Bayview Heights Dr #230San Diego, CA 92105",1971
2 Beds,1 Bath,756 sqft,"$725,000",Garage,"2916 Suncrest DrSan Diego, CA 92116",1924
4 Beds,4 Baths,"2,600 sqft","$2,749,000",2 Car Garage,"4563 Niagara AveSan Diego, CA 92107",2021
4 Beds,2 Baths,"1,412 sqft","$899,000",Garage,"6383 Lake Apopka PlSan Diego, CA 92119",1962
3 Beds,2 Baths,940 sqft,"$155,000",2 Carport Spaces,"2950 Iris Ave #8San Diego, CA 92154",2000
1 Bed,2 Baths,882 sqft,"$430,000",No Info,"6717 Friars Rd #60San Diego, CA 92108",1979
5 Beds,3 Baths,"3,007 sqft","$1,700,000",3 Car Garage,"17115 Patina StSan Diego, CA 92127",2000
3 Beds,1 Bath,"1,250 sqft","$779,900",1 Car Garage,"4768 Andalusia AveSan Diego, CA 92117",1960
2 Beds,2 Baths,"1,134 sqft","$455,000",Garage,"16599 Caminito Vecinos #4San Diego, CA 92128",1971
2 Beds,2 Baths,"1,032 sqft","$539,900",1 Parking Spaces,"12290 Corte Sabio #3105San Diego, CA 92128",1986
5 Beds,4 Baths,"3,277 sqft","$2,995,000",2 Car Garage,"2283 Whitman StSan Diego, CA 92103",2006
4 Beds,4 Baths,"3,776 sqft","$5,950,000",2 Car Garage,"13047 Via LatinaDel Mar, CA 92014",2000
1 Bed,2 Baths,"1,093 sqft","$399,000",Garage,"3890 Nobel Dr #701San Diego, CA 92122",1992
7 Beds,5 Baths,"6,282 sqft","$3,350,000",Garage,"4640 Massachusetts StSan Diego, CA 92116",1929
8 Beds,5 Baths,"2,922 sqft","$1,200,000",Attached Garage,"4240-4242 47th StSan Diego, CA 92115",2007
4 Beds,3 Baths,"2,465 sqft","$2,299,000",Garage,"2424 Corona CtLa Jolla, CA 92037",1961
4 Beds,4 Baths,"2,682 sqft","$2,050,000",2 Car Garage,"3243 Harbor View DrSan Diego, CA 92106",1974
4 Beds,4 Baths,"1,889 sqft","$1,888,000",Garage,"3615 Plumosa DrSan Diego, CA 92106",1950
4 Beds,2 Baths,"1,573 sqft","$875,000",2 Car Garage,"3580 Merrimac AveSan Diego, CA 92117",1965
7 Beds,5 Baths,"2,742 sqft","$5,799,900",No Info,"3677-3683 Ocean Front WalkSan Diego, CA 92109",1972
3 Beds,2 Baths,"1,296 sqft","$599,000",2 Car Garage,"5016 Tiselle WaySan Diego, CA 92105",1978
8 Beds,8 Baths,"11,434 sqft","$12,995,000",3 Car Garage,"9450 La Jolla Farms RdLa Jolla, CA 92037",1989
4 Beds,2 Baths,"1,475 sqft","$680,000",2 Car Garage,"7540 Woodbine WaySan Diego, CA 92114",1991
3 Beds,2 Baths,"1,058 sqft","$849,999",2 Car Garage,"3713 Meadowgate StSan Diego, CA 92111",1962
3 Beds,2 Baths,"1,180 sqft","$649,000",2 Car Garage,"7401 Minerva DrSan Diego, CA 92114",1959
2 Beds,2 Baths,"1,276 sqft","$950,000",2 Car Garage,"7944 Lusardi Creek LnSan Diego, CA 92127",2017
6 Beds,5 Baths,"3,670 sqft","$3,875,000",2 Car Garage,"342 Playa Del SurLa Jolla, CA 92037",2005
2 Beds,3 Baths,"1,746 sqft","$1,049,000",No Info,"3030 Jarvis St #6San Diego, CA 92106",2019
1 Bed,1 Bath,699 sqft,"$449,000",1 Car Garage,"1435 India St #302San Diego, CA 92101",2005
1 Bed,1 Bath,671 sqft,"$414,900",Garage,"889 Date St #414San Diego, CA 92101",2007
5 Beds,4 Baths,"5,695 sqft","$2,698,000",3 Car Garage,"13024 Olmeda CtSan Diego, CA 92128",1979
1 Bed,1 Bath,719 sqft,"$415,000",1 Parking Spaces,"425 W Beech St #342San Diego, CA 92101",2004
4 Beds,2 Baths,"1,542 sqft","$644,988",2 Car Garage,"1124 Pyramid StSan Diego, CA 92114",1958
2 Beds,2 Baths,"1,311 sqft","$759,000",2 Car Garage,"4969 Elsa RdSan Diego, CA 92120",1968
1 Bed,1 Bath,598 sqft,"$450,000",No Info,"3993 Jewell St #B11San Diego, CA 92109",1969
3 Beds,3 Baths,"1,344 sqft","$480,000",Garage,"3034 Village Pine Dr #DSan Diego, CA 92173",1983
3 Beds,3 Baths,"1,571 sqft","$1,625,000",Garage,"889 Loma Valley PlSan Diego, CA 92106",1959
Studio,1 Bath,433 sqft,"$289,000",1 Parking Spaces,"7787 Margerum Ave #140San Diego, CA 92120",1978
1 Bed,1 Bath,650 sqft,"$402,000",Garage,"3535 Madison Ave #225San Diego, CA 92116",1984
2 Beds,3 Baths,"1,269 sqft","$845,000",Garage,"1431 Pacific Hwy #806San Diego, CA 92101",2008
4 Beds,4 Baths,"3,290 sqft","$1,950,000",2 Car Garage,"2269 Ebers StSan Diego, CA 92107",2020
2 Beds,2 Baths,"1,407 sqft","$1,235,000",Garage,"100 Harbor Dr #704San Diego, CA 92101",1992
3 Beds,2 Baths,"1,512 sqft","$359,500",No Info,"10770 Black Mountain Rd #280San Diego, CA 92126",2021
3 Beds,2 Baths,"1,400 sqft","$724,900",2 Car Garage,"2525 Indianapolis AveSan Diego, CA 92105",1979
1 Bed,1 Bath,653 sqft,"$430,000",Garage,"1775 Diamond St #301San Diego, CA 92109",1975
4 Beds,3 Baths,"2,529 sqft","$1,469,000",2 Car Garage,"1345 Viola StSan Diego, CA 92110",1994
1 Bed,1 Bath,861 sqft,"$460,000",Garage,"1940 3rd Ave #207San Diego, CA 92101",1981
5 Beds,5 Baths,"4,325 sqft","$2,495,900",2 Car Garage,"2212 Dunhaven StSan Diego, CA 92110",2008
3 Beds,2 Baths,988 sqft,"$610,000",2 Car Garage,"6274 Chadwick AveSan Diego, CA 92139",1959
3 Beds,3 Baths,"2,593 sqft","$1,595,000",2 Car Garage,"5681 Caminito DanzarinLa Jolla, CA 92037",1989
4 Beds,3 Baths,"2,040 sqft","$1,099,000",Garage,"10456 La Morada DrSan Diego, CA 92124",1973
